Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
0.6461792,-0.027328939420880105,-0.011550125367639108,-0.03500566375493541,
0.654602051,0.039428352369546005,0.021399548143388625,0.06393882837105203,
0.663024903,0.031542681895636804,0.01711963851471099,0.14308221504059127,
0.671386719,-0.0054055029209905125,-0.01694393762573121,0.2064091314074723,
0.679748536,-0.034976257805542366,0.017084498336914944,-0.14133021440527216,
0.68814087,0.06396235313056609,0.07495910257578187,-0.5114650504304681,
0.696594239,-0.07141312530804711,-0.0013242218456244181,-0.4091720403443748,
0.704956055,-0.11842200415268778,0.029592477992250732,-0.17410276899424915,
0.713348389,0.08913690839659982,0.054313630831300586,-0.16993407066414967,
0.721710205,-0.02063383265772012,0.043450904665040646,-0.04400389715631903,
0.730072022,-0.07779857003242618,0.004121075294532428,0.05672803461869513,
